timestamp,xauusd_open,xauusd_high,xauusd_low,xauusd_close,xauusd_ret1,xauusd_ret3,usdthb_ret1,xau_macd_delta1,xauusd_dist_ema21,xauusd_dist_ema50,usdthb_dist_ema21,trend_regime,xauusd_rsi14,xau_rsi_delta1,xauusd_macd_hist,xauusd_atr_norm,xauusd_bb_width,atr_rank50,wick_bias,body_strength,hour_sin,session_id,session_name,target_buy,target_sell,buy_score,sell_score
2026-02-02 06:15:00,4662.1,4697.86,4660.5,4697.8,0.0076920766891037,0.3706439791797959,-0.0005059128565104,8.341632490716675,0.0063320378767356,-0.02399933698748,-0.0003405267490288,1,92.95439981819872,2.7287608936138525,-11.517421725875684,0.0103399331975786,0.0035506016575602,0.96,1.5400000000008731,0.955567451820132,1.0,2026-02-02_Morning,Morning,0,1,0.0307213691402281,5.0
2026-02-02 06:20:00,4697.8,4705.12,4675.38,4681.03,-0.0035697560560262,0.005518393930411,0.0006643467257196,4.873381053433739,0.0024899961921596,-0.0264341302481872,0.0002941674816221,1,81.49607203002778,-11.458327788170948,-6.644040672441944,0.0100895711945357,0.0035506016575602,0.94,-1.6700000000000728,0.5638870208473624,1.0,2026-02-02_Morning,Morning,0,0,0.0927841012585619,5.0
2026-02-02 06:25:00,4681.03,4689.38,4668.92,4671.17,-0.0021063740245201,0.0019798624606923,0.0,2.900200725663053,0.0003439675358074,-0.0273983775920642,0.0002674178318719,1,75.59573120613507,-5.900340823892705,-3.743839946778891,0.0097015249289616,0.0035506016575602,0.92,-6.100000000000364,0.4819159335288199,1.0,2026-02-02_Morning,Morning,0,0,0.1328861539605248,5.0
2026-02-02 06:30:00,4671.17,4699.95,4669.91,4686.74,0.0033332120218274,-0.0023542934990847,0.0005690619961431,3.14283236810073,0.0033428149800093,-0.0232311840422833,0.000760516707344,1,78.27105001557285,2.6753188094377833,-0.6010075786781606,0.0094364577911211,0.0035506016575602,0.9,-11.949999999999818,0.5183089214380735,1.0,2026-02-02_Morning,Morning,0,1,0.0708312157413924,5.0
2026-02-02 06:35:00,4686.72,4693.74,4665.58,4667.35,-0.0041372041120265,-0.0029224337378738,0.0002843691743814,0.9004610057814979,-0.0007347985706526,-0.0262308288826311,0.0009500026038703,0,68.23846452773363,-10.032585487839228,0.2994534271033373,0.0092297849413397,0.0035506016575602,0.88,-5.2499999999990905,0.6878551136363633,1.0,2026-02-02_Morning,Morning,1,0,0.1492240488669343,5.0
2026-02-02 06:40:00,4667.38,4691.31,4658.5,4688.64,0.0045614749268856,0.0037399623648892,-0.0003158759239371,2.0432024731378107,0.0034745419643666,-0.020952437676946,0.000576172797835,1,72.41876879676066,4.180304269027033,2.342655900241148,0.0090314382619862,0.0035506016575602,0.86,6.210000000000036,0.647973178908868,1.0,2026-02-02_Morning,Morning,0,0,0.0637204328097721,5.0
2026-02-02 06:45:00,4688.65,4713.46,4685.27,4687.01,-0.0003476487851488,5.7609340394559894e-05,6.319514661279335e-05,1.1843023950530205,0.0028407248524957,-0.0204748872885138,0.0005812429007709,1,71.64132918448367,-0.7774396122769929,3.5269582952941683,0.0088188588552621,0.0035506016575602,0.84,-23.07000000000062,0.05817665838948,1.0,2026-02-02_Morning,Morning,0,1,0.009085498648505,5.0
2026-02-02 06:50:00,4686.91,4692.22,4675.11,4686.09,-0.0001962871852204,0.0040151263564978,-0.0005055292259082,0.6211492671789607,0.0024029497802607,-0.0198727852580041,6.856302044340686e-05,1,71.17687874966529,-0.4644504348183744,4.148107562473129,0.0084513503240689,0.0035506016575602,0.82,5.670000000000073,0.0479251899473805,1.0,2026-02-02_Morning,Morning,0,0,0.0123594787814745,5.0
2026-02-02 06:55:00,4686.09,4688.96,4672.18,4679.62,-0.001380681975805,-0.0019237987987988,-9.483467155591008e-05,-0.1280282846689733,0.0009262324695809,-0.0204106256020369,-2.3889287309686443e-05,1,67.84569074432136,-3.3311880053439324,4.020079277804156,0.0081146583807096,0.0035506016575602,0.8,4.569999999999709,0.3855780691299376,1.0,2026-02-02_Morning,Morning,0,0,0.0359973043102204,5.0
2026-02-02 07:00:00,4679.66,4693.66,4670.76,4690.77,0.0023826720973072,0.0008022171917705,0.0003793746640954,0.5244178566683306,0.0030091955426906,-0.0173800200812029,0.0003231498423489,1,70.41538468976404,2.5696939454426797,4.544497134472486,0.0078658381927239,0.0035506016575602,0.78,6.010000000000218,0.4851528384279807,0.9659258262890684,2026-02-02_Morning,Morning,0,1,0.0,5.0
