timestamp,model_name,return_pct,sharpe,drawdown,win_rate,trades,config_hash
2026-04-25_012712,XGBClassifier,-1.2139860615587623,-1.8377524841549864,-2.7206778772470295,0.5789473684210527,19,f026e4bcb6d8af1b
2026-04-25_013244,XGBClassifier,-1.2139860615587623,-1.8377524841549864,-2.7206778772470295,0.5789473684210527,19,f026e4bcb6d8af1b
2026-04-25_014726,XGBClassifier,6502659921.050895,10.216616570160246,-2.7755451705898886,0.5813953488372093,43,b11b094aec64fc49
2026-04-25_014956,XGBClassifier,-3.218313529068458,-1.5751725497093623,-6.695192326561466,0.6,40,b11b094aec64fc49
2026-04-25_015134,XGBClassifier,-3.218313529068458,-1.5751725497093623,-6.695192326561466,0.6,40,b11b094aec64fc49
2026-04-25_015548,XGBClassifier,-6.733449083543004,-3.264412985591823,-8.070020258510517,0.5740740740740741,54,f4e719476dae521c
2026-04-25_020059,XGBClassifier,-1.8171095891698161,-4.425525060464139,-1.8171095891698161,0.47058823529411764,17,f4e719476dae521c
2026-04-25_020331,XGBClassifier,-0.9600747116839102,-3.405413469149742,-0.9600747116839102,0.0,4,f4e719476dae521c
2026-04-25_020803,XGBClassifier,-0.9600747116839102,-3.405413469149742,-0.9600747116839102,0.0,4,f4e719476dae521c
2026-04-25_020906,XGBClassifier,-0.9600747116839102,-3.405413469149742,-0.9600747116839102,0.0,4,f4e719476dae521c
2026-04-25_021134,XGBClassifier,-2.8934553604719437,-3.9107870574338532,-2.8934553604719437,0.2857142857142857,14,f4e719476dae521c
2026-04-25_021207,XGBClassifier,-0.8393592641698432,-3.524815706318651,-0.8393592641698432,0.0,4,f4e719476dae521c
2026-04-25_021224,XGBClassifier,-2.8934553604719437,-3.9107870574338532,-2.8934553604719437,0.2857142857142857,14,f4e719476dae521c
2026-04-25_021448,XGBClassifier,-2.4812567666857377,-3.5047486629534217,-2.678879422071401,0.2222222222222222,9,f4e719476dae521c
2026-04-25_021609,XGBClassifier,-2.4812567666857377,-3.5047486629534217,-2.678879422071401,0.2222222222222222,9,f4e719476dae521c
