entry_time,exit_time,status,side,qty,entry_price_raw,entry_price,exit_price,entry_notional,exit_value,gross_pnl,fees,pnl,pnl_pct,days_held,minutes_held,bars_held,reason,session_name,entry_prob_buy,entry_prob_sell,mfe,mae,spread_paid_entry,slippage_paid_entry,slippage_paid_exit,total_execution_cost
2026-02-02 09:45:00,2026-02-02 09:50:00,CLOSED,SELL,0.32549697513004994,4615.26,4608.3377561364005,4600.042748175355,1500.0,1502.7,2.6999999999999886,0.0,2.6999999999999886,0.0017999999999999924,0.003472222222222222,5.0,1,TAKE_PROFIT,Weekday_Morning,0.08911612629890442,0.6680606603622437,8.569604984359888,-2.2792091967246524,6.461363999999776,0.4608798635999847,0.45995827898968855,7.382202142589449
2026-02-02 16:25:00,2026-02-02 16:30:00,CLOSED,SELL,0.3187421980374462,4721.55,4714.468336017,4729.554634692255,1502.7,1497.89136,-4.808640000000035,0.0,-4.808640000000035,-0.003200000000000023,0.003472222222222222,5.0,1,STOP_LOSS,Weekday_Afternoon,0.025652959942817688,0.632918655872345,1.5963680305687353,-15.606148397512317,6.6101699999999255,0.47149398300007306,0.4729081726518416,7.55457215565184
2026-02-03 00:00:00,2026-02-03 00:30:00,CLOSED,SELL,0.32201549006638136,4658.6,4651.612752204001,4641.3792041491515,1497.89136,1501.1867209920001,3.2953609920000813,0.0,3.2953609920000813,0.0022000000000000543,0.020833333333333332,30.0,6,TAKE_PROFIT,Weekday_Evening,0.08983884751796722,0.6352972388267517,394.86594063641877,-4.220736822450335,6.5220399999998335,0.46520779599995876,0.4640915112640869,7.451339307263879
2026-02-03 00:30:00,2026-02-03 01:00:00,CLOSED,BUY,0.43733460074711406,3427.44,3432.5816398416,3440.1333194492513,1501.1867209920001,1504.4893317781825,3.302610786182302,0.0,3.302610786182302,0.0021999999999999346,0.020833333333333332,30.0,6,TAKE_PROFIT,Weekday_Evening,0.927222490310669,0.03944918140769005,560.2249063975817,-3.1495262848506016,4.798416000000088,0.3432238415998654,0.344047736718494,5.485687578318448
2026-02-03 11:35:00,2026-02-03 11:45:00,CLOSED,SELL,0.3065657587596036,4914.93,4907.5582930902,4923.262479628089,1504.4893317781825,1499.6749659164923,-4.814365861690216,0.0,-4.814365861690216,-0.003200000000000021,0.006944444444444444,10.0,2,STOP_LOSS,Weekday_Morning,0.10525946319103241,0.5985088348388672,0.0,-5.696515077851478,6.880901999999878,0.49080490980031755,0.4922770202610991,7.863983930061295
2026-02-03 17:05:00,2026-02-03 17:10:00,CLOSED,SELL,0.30420759362982464,4937.18,4929.7749212052,4945.550200953057,1499.6749659164923,1494.8760060255595,-4.79895989093288,0.0,-4.79895989093288,-0.00320000000000007,0.003472222222222222,5.0,1,STOP_LOSS,Weekday_Afternoon,0.13479870557785034,0.6268482804298401,0.0,-5.714563616312763,6.912051999999676,0.4930267948002438,0.49450556953797786,7.899584364337898
2026-02-04 00:30:00,2026-02-04 01:00:00,CLOSED,BUY,0.43549612591138315,3427.44,3432.5816398416,3440.1333194492513,1494.8760060255595,1498.1647332388156,3.2887272132561325,0.0,3.2887272132561325,0.002199999999999934,0.020833333333333332,30.0,6,TAKE_PROFIT,Weekday_Evening,0.9112693667411804,0.03609975054860115,670.5196060373154,-3.136286251225823,4.798416000000088,0.3432238415998654,0.344047736718494,5.485687578318448
2026-02-05 00:30:00,2026-02-05 01:00:00,CLOSED,BUY,0.4364542173883882,3427.44,3432.5816398416,3440.1333194492513,1498.1647332388156,1501.460695651941,3.295962413125296,0.0,3.295962413125296,0.002199999999999934,0.020833333333333332,30.0,6,TAKE_PROFIT,Weekday_Evening,0.8918846845626831,0.032276563346385956,682.4565567613972,-3.14318608097852,4.798416000000088,0.3432238415998654,0.344047736718494,5.485687578318448
2026-02-05 11:30:00,2026-02-05 11:45:00,CLOSED,SELL,0.30789625770306217,4883.84,4876.514923737601,4892.1197714935615,1501.460695651941,1496.6560214258548,-4.804674226086324,0.0,-4.804674226086324,-0.003200000000000075,0.010416666666666666,15.0,3,STOP_LOSS,Weekday_Morning,0.09265374392271042,0.6335013508796692,0.0,-5.4420898358088055,6.8373759999994945,0.48770026239981235,0.4891630608435662,7.814239323242873
2026-02-05 17:35:00,2026-02-05 17:40:00,CLOSED,SELL,0.31002018007367693,4834.86,4827.608386880401,4817.95317010664,1496.6560214258548,1499.6493334687066,2.993312042851744,0.0,2.993312042851744,0.002000000000000023,0.003472222222222222,5.0,1,TAKE_PROFIT,Weekday_Afternoon,0.09265518188476562,0.6060034036636353,5.477556482273358,-2.629471226653463,6.768803999999363,0.4828091195995512,0.4817471422966264,7.733360261895541
2026-02-06 00:30:00,2026-02-06 01:00:00,CLOSED,BUY,0.436886719914376,3427.44,3432.5816398416,3440.1333194492513,1499.6493334687066,1502.9485620023377,3.299228533631056,0.0,3.299228533631056,0.002199999999999934,0.020833333333333332,30.0,6,TAKE_PROFIT,Weekday_Evening,0.882651686668396,0.033551041036844254,594.6807489880326,-3.1463008084012665,4.798416000000088,0.3432238415998654,0.344047736718494,5.485687578318448
2026-02-06 11:45:00,2026-02-06 12:05:00,CLOSED,SELL,0.3091058024898084,4869.55,4862.2463567370005,4877.80554507856,1502.9485620023377,1498.13912660393,-4.809435398407694,0.0,-4.809435398407694,-0.003200000000000142,0.013888888888888888,20.0,4,STOP_LOSS,Weekday_Morning,0.08440049737691879,0.5795460939407349,0.6881797858189949,-4.8015392663997885,6.817369999999755,0.48627326299993,0.487731781329785,7.79137504432947
